tweet,sentiment
"i'm done writing code for the week! looks like we've developed a good a** game for the show revenge on abc sunday, premeres 09/30/12 9pm",positive
dec 21st 2012 will be know not as the end of the world but the baby boom!,neutral
"hate my life, because i can't see you at the roskilde festival on saturday, promise me to come back again, soon.",negative
checked out our lady peace at bluesfest tonight and spending the day at the beach for hope volleyball tomorrow. gotta love summer weekends!,positive
hello from the foundation trekkers! we're up in chilly haltwhistle getting ready to trek hadrian's wall tomorrow :-),positive
tomorrow we will be proud to play at the remembrance service at south hetton church,positive
impulsively bought resident evil: operation raccoon city. probably won't play it till tomorrow though. have so much editing to do with 06.,negative
"just arriving in madrid from moscow tomorrow going to hvar, croatia",neutral
nataaashaann where you been? don't forget about stratford weekend in grand bend aug 10 (it's free!) yn4j,positive
"cainer was given a key to the city of sf. june 13th will also forever be known as """"matt cain day.""""",positive
knowing that is at rum runners right now makes it hard for me to control my excitement for tomorrow!,positive
just packing for a weekend in liverpool and the small matter of a marathon on sunday. first up though...blackpool illuminations!,neutral
"your plans of attending the great yorkshire show may have been washed out because of the weather, so how about...",negative
"by the end of today i will have worked 14hrs, done my workout and attended part of hot jam. hitting the ground running this monday.",neutral
check out this weeks the scoop column looking back on sat nights win over the thunder!,neutral
"three day weekend a head. tonight grand bend forracing, saturday grand bend with the inlaws more racing. sunday first game for us.",positive
have you been inspired by ironman wales? why not give triathlon a go by taking part in the fishguard go tri on sunday.,positive
"everyone's out black friday shopping talking about what deals they got and i'm just over here like """"hey i'm eating thanksgiving leftovers!"""".",neutral
i've found lyrics of kiryu - kaika!!! yes!!! but i've sat down to listen a song and write it already...)),positive
"jonathan kozol is the leading author on educational advocacy and social equality. he will be on campus wednesday,...",neutral
that's the 1st.2nd: nadia & mysa about mysa break dgn adam. 3rd: this bullshit thingy -.-,negative
"thanks to all those who joined uysa and the university of utah in celebrating youth soccer month last saturday,...",positive
"well it was either that or watch you play raccoon city, so.. i think i may have won?",positive
"i wasn't around for hot jam, why is it even on a monday",negative
performing at the kee on august 18th? is this real life? betches retreat ...,neutral
"day 1 at the socal college fair pomona fairplex--1st person to get to our booth & say """"your story matters"""" wins something special!",positive
"de la soul's first serve project with live band debuts this thu 18th in meeting house square, onra supports on mpc !!!",neutral
i just googled it haha catelynn and tyler met first and butch and april have been married but they got divorced,neutral
"mertesacker is first choice for me, koscielny and vermalen should fight for the other spot tomorrow. he just compliments the 2 brilliantly.",positive
anybody going to that 4th of july pool party in knollwood?,neutral
"new cher single coming on monday to itunes, """"woman's world"""". this is the official streaming from warners on youtube:",neutral
"team ck vs demolition on november 17th at the american legion post 80, main st. in binghamton ny. get your tickets now!",positive
my daughter will be 14 on december 17th! we r going to see buddy the kirby center in wb on december 14th. so excited!,positive
tomorrow there will be a new miss teen usa. make sure you follow the current danielle doty's personal account,neutral
"""""how to see the sun rise"""" by ben sollee",neutral
morning!!!! soundset was popin and hot as a tity but time to waken bake easy the sun burn haaa,positive
"hee hee! do you know, that picture was taken after husband bought me tickets to see the ladykillers for the 3rd time.",neutral
"teddy bear toss, a brad mills goal and more fun from maverik center in a tough loss friday. see you tomorrow at 7!",positive
a close 2nd is playing nothing but rse on my drive to soundset from california. then nothing but rse on the way back.,negative
"dr joe will kick off his australian tour with a lecture at the conscious club in sydney, australia, thursday, may 17!",neutral
have a lovely sunday and keep it mysa,positive
"just only for true liverpudlian, download this song on itunes idr15.000. keep it on 1st in xmas chart!",positive
"save the date !! next saturday, the 14th of december, circoloco is back at showcase - paris live club with dan...",neutral
"2013 marks the 100th birthday of the chelsea flower show. if you're heading to the uk in may, why not combine a...",neutral
having the ny marathon on sunday is like having a parade in raccoon city right after the t-virus went airborne.,negative
"a new work, threshold, will be read by the african american repertory theatre of virginia this friday at the...",neutral
i went to a remembrance service today for the 1st time and can say it was so touching.,positive
sun got the best of me at soundset,positive
check out what's happening at the san diego county fair (del mar fairgrounds) this saturday!,neutral
my 1st bias in t-ara still eunjung jiyeon okay still eunji !! but plus danee now muahahahah so it being eunjini ._. lol,positive
transformers prime is being syndicated to the cw network for their saturday morning cartoon programming block. very interesting.,positive
oh let me know if you hear about what's on at sankeys 11th and 12th of january?:) my 21st!! could just celebrate it at circoloco,positive
might be stopping be the studio on friday. have any of that halloween candy left over?,neutral
the friday we got off of thanksgiving break,neutral
thanks again for tix to last nights passafire show! bout my tix to the rndm show for tomorrow night!,positive
i hope we watch the concert tomorrow.. i need to see danee!!,positive
just got word we are stopping back in pittsburgh before the tour heads to ohio june 29th,neutral
kiryu to release 9th single this christmas visual kei band kiryu surprise their fans with great news! the band...,positive
"tomorrow at knollwood, tyler graham and ashley mayhall compete! any body i'm missing, let me know! zoe is on vacation..enjoy the trip!",positive
"liverpudlian, david price defeats matt skelton in the 2nd round to defend his british & commonweath heavyweight titles.",positive
shouts out to big it's his 16th birthday today! trosk is the best baseball player since kenny lofton!,positive
having to work a sunday but a sunday of the edinburgh derby,negative
saw your concert at san diego county fair on june 30!!! i loved it!! you guys were amazing!!!!!,positive
and you're all just going to have to accept the fact that i'll be slipping in and out of the liverpudlian accent tomorrow ok okay,neutral
"parkdale students, take a break from homework and head to the polish festival! saturday and sunday only!",neutral
don't know why i'm being a melt and just go circoloco tomorrow,negative
congratulations to for being the first one from wv to ever be a miss teen usa 1st runner up!!! could not be more proud! love you,positive
"gah, i still can't believe i got to meet at phoenix comicon, back in may. still excited about it!!!(:",positive
feels like a monday. ( fm kirby center for the performing arts),neutral
"spent about 9 hours straight in the sun for waterparks video shoot, going to spend the same amount tomorrow at riot fest. kill me.",negative
if you love pinups and burlesque check out the burlesque assassins film premiere in baltimore on nov 9 at creative alliance.,positive
had my 1st beef bibimbap today at westfield parramatta. never knew it would be so filling. 5 hours on and still not feeling an edge hungry.,positive
"watching jiujitsu matches all day long, getting ready for sunday!",neutral
omigod you guys i get to see holy motors tomorrow.,positive
"everyday i'm like """"shit is it the 17th yet!? did i miss the kiryu project!?"""" ><",negative
anyone got peeps at ? going to hear jonathan kozol speak tomorrow. hoping they allow motorscooters at the bike racks?,neutral
"lol, all the people on the facebook live chat on rock im park are real idiot's. i explain them that evanscence have performed on friday...",negative
"enjoying some for lunch today because it's friday, and i'm finally finished with thanksgiving leftovers :)",positive
painting the liverpudlian town red on saturday night anyone? i know i am!!!,positive
"omigod worst moment when you realise that its the last day of the holidays, school starts tomorrow and you still haven't done your homework!",negative
"funky mojos saturday with the girls, sunday my birthday, next sat circoloco then ibiza!!! loving life",positive
"mdsl finals this sunday, july 15 at 6pm. come watch mysa take on the detroit hustlers at ultimate soccer arena!!( )",positive
"gotta love it, and snoop is playing tomorrow night at bluesfest!",positive
we're at the beverly gardens park for the art show. we're here til 5pm!! art museum to the art park - perfect sunday!!,positive
... see you on fhv at 6pm ..... and hope to see you at westfield parramatta on sunday at 1pm :-),positive
youth soccer pictures are this saturday (10/13)! check out the youth soccer schedules on our website!,neutral
i made a time-lapse video of the san diego county fair you may enjoy!,positive
we're in hostile territory with these wny flash fans. 2nd half of overtime about to begin...red stars kicking off.,neutral
veteran day ballin. ... glad i dnt got no class tomorrow so i'm vibin,positive
: leaving for bacolod on the 20th! having a sun cellular event in bcd. see you guys there!!! - omigod! see you tom kief.,positive
on 2nd thoughts let me watch the repeat show of styled to rock ! why am i not in this episode u get to design for kanye west cha :x,neutral
"big fan of your work! star trek, threshold, fresh hell, alphas, etc and may meet you in person at dstl! yay! you rock!",positive
happy bacon fat friday ya'll. copper river salmon rillettes tonight & the selena gomez dog. gonna be a good friday!,positive
yeah so much has changed for the 6th. lots of combat fighting. and inventory is different. did you do raccoon city?,positive
