tweet,sentiment
saturday without leeds united is like sunday without a sunday dinner it doesn't feel normal at all (ryan),negative
catch rainbow valley at the gala. oct 26 !,positive
"it doesn't really count, i was decorating a haunted house for a halloween program tomorrow...i get paid lots of overtime:-)",positive
"wish us luck...we may need it. ( georgia dome for atlanta falcons vs. chicago bears in atlanta, ga)",positive
we're so excited to be part of the still we rise gala on dec 3. join us!,positive
"not really feeling this new season of american horror story. 1st 2 season were legit, it went downhill after that.",negative
"dude, c'mon. bears are going to the georgia dome. that's the one place the falcons can win.",positive
i wonder if billy joe armstrong (green day) gets woken up every october 1st. that joke would be funny the first time but prob get annoying.,neutral
late upload from the bears game sunday the georgia dome,neutral
i caught up on ahs i'm a have to do scandal and how to get away with murder tomorrow,neutral
my friday consists of netflix and hot tea allllllllll day long.,neutral
i'm a big fan of kunle afolayan. i normally enjoy his movies is october 1 any good? would love to see it,positive
i watched october 1 today. awesome movie: a blockbuster! kunle afolayan never disappoints. d lord will bless u with better ideas.cheers!,positive
reminder! liam's on a friday night double 11/4. get it here >>>,neutral
just got back to ohio from la while i was there i saw a guy wearing your jersey on sun. and one at lax yesterday,positive
there was a particular scene where danladi sat in the bush with afolayan's character. they just kept talking and talking.,neutral
need car financing? toyota of hollywood has you covered!,positive
"i've been watching gilmore girls for the past 3 hours. oops, happy thursday!",positive
the coast guard first encountered reza baluchi on wednesday after receiving a report about a man in a bubble off the coast of florida...,neutral
"hi, was offered the 6 months free netflix last tuesday and was told it takes 5 days to receive a code but haven't got anything",negative
tip o' the day on green day friday : give your old laptop a new life via globetops,neutral
just sat here thinking about liam and louis changing their world the whole world,neutral
kobe bryant is better than the 40th best player. i would say about 25th,positive
time! liam's on a friday night double 11/4. get it here >>>,neutral
how safe are local rescue workers against the threat of ebola? david linton provides some answers on sunday.,neutral
brilliant brilliant brilliant. wondering what to do for halloween? lensa nails it. friday night via,positive
just watched the whole 2nd season of ahs in less then 24 hours. i'm not even ashamed.,positive
"lax sesh tomorrow fr, need it",neutral
"blood moon returns early wednesday, and this time it's bigger",positive
martinez confirms he's in the 18 for tomorrow. ospina got banjaxed by that unpunished late foul against galatasaray.,neutral
"football giants leeds united take on rotherham this friday at 7:30, be sure to be here to watch it. no doubt it will be a classic.",positive
i may or may not be watching gilmore girls just because you're in this episode.,neutral
"jennifer lawrence touched down at lax on tuesday sporting a """"love"""" pin on her purse. simple enough, but if you're ...",neutral
"trick or treat: wants georgia voters to forget she's a democrat and sam nunn's daughter until after halloween, oops nov 4",negative
the gala is on friday evening! read about the distinguished alumnae:,positive
"it may be because it's really late or because i've watched 40+ hours of gilmore girls, but i just cried way too much when rory graduated...",negative
you might enjoy these pics i took at arsenal vs galatasaray on wed,positive
"georgetown may have bill clinton, but we have twisty the clown from american horror story",neutral
hull city manager steve bruce says his side is hoping to benefit from a wounded arsenal when they meet on saturday. despite the london te...,positive
"received the blood moon image today, 16x24 matte paper, and it looks great! i may have found a new online vendor...",positive
in one weeks time i managed to binge watch the entire 4th season of gilmore girls and write my stress management plan/paper,neutral
"i met you in lax in august i've been trying to get a follow from you since i met u, follow me pls?",positive
"yeah - friday! opportunities abound. i've see the toyota trucks with """"yo"""" on the tailgate. today i was a mitsubishi that said """"t u shi""""",positive
"i want to hear the leak of blood moon already, but ima wait till i buy the cd tomorrow.",neutral
got me looking at this paper mars rules tuesday and its color is red and nights ago it was a blood moon now checking date,neutral
convenient location to the georgia dome: this is our 2nd time staying at the omni at cnn and both times we wer...,neutral
"lets hope they beat leeds united, are you going to the match tomorrow, come on u millers!!!",positive
i keep thinking its gonna be a green day tomorrow but then i remember that it will be a white day so i cry,negative
"flew out of burbank for the 1st time. mind blown. i'm ruined! sorry, lax, we're breaking up. and was on my flight. win!",positive
in arusha for tomorrow's annual toyota cocktail and dinner at the hrc. looking forward to seeing old friends and toyota customers.,positive
"qwik tip: if you're sending christmas gifts to deployed military, the cheapest/slowest route to apo/fpo means you must ship by nov 8.",neutral
"blood moon: blood moons: decoding the imminent heavenly signs: the sun shall be turned into darkness, and the moon in",neutral
after the blood moon comes the pumpkin sun,neutral
"louis,niall,harry,liam,zayn auditioned as solo artists on the x factor the boys became 1d and now their on their 4th album",neutral
"halloween is a friday if that helps, so i'll probably be going straight from ayr after college xd",positive
arsenal: ozil linked with shock rivals switch: arsenal midfielder mesut ozil has emerged as a surprise january...,positive
nollywood rising with october 1 kunle afolayan is the most important ambassador the nigerian government does not...,positive
we have had a few home leeds united tickets returned which are available on a 1st come 1st served basis to supporters on the database,neutral
anyone want to watch american horror story with me? i'm on the 9th episode of the 1st season,neutral
not forgetting england's biggest football club and everyone's favourite 2nd team leeds united take on rotherham at 7:30 tonight,positive
"if she handles blood samples in a way that she could get ebola, she should probably get tested for hepc instead.",negative
"can i please have a follow, i need someone to obsess with over ahs by wednesday",neutral
is the news about netflix and kunle afolayan's october 1 true?,neutral
"funny how arsenal fans were all appalled by the galatasaray fans behaviour wednesday yet, today they did the exact same thing",negative
guysss is it true that selena's album is gonna be released on november 24th omggg,positive
jermaine pennant scored a hat-trick in the 1st match of arsenal's 49 match unbeaten run. perhaps even more unbelievable than the run itself.,positive
: selena's album is coming out november 24th & it's called 'for you' it'll include 2 new songs & 4 old we poor,positive
: is the news about netflix and kunle afolayan's october 1 true? wooaaah did dey say netflix bought it?,neutral
i just had a dance party by myself to green day while my roommate just sat there minding her own business. we are on that level now.,neutral
ahs still has me dreaming of clowns...it's friday,neutral
some electro glam rock to get you through monday. apes & androids: blood moon,positive
is it true that selena's new album comes out on november 24th!!!!!! i can't wait,positive
12 days of christmas! on the 8th day it has to be new choc stars!,positive
my mama paying for that dumb ass hulu shxt she may as well get netflix.,negative
just realized that i attributed what's my age again to green day on monday when it's obvi blink 182. this is what sobriety does to a woman.,neutral
"so far, everyone who's seen kunle afolayan's """"october 1"""" has said the same thing: go see it!",positive
"aside going to the hockey viewing partying tonight, i'm going to my aunt & uncle's early halloween party tomorrow night. :)",positive
we will cap our fall season with the halloween game on sunday at 1pm!,positive
"my sun, jonathan major just called me from the georgia dome, the miles college band will be performing there...",neutral
fyi friday! halloween is right around the corner! keep your pets safe with these helpful tips from aspca....,positive
wear your most verdacious attire with pride tomorrow - celebrate go green day,positive
"arsenal v leeds united, 30 january 1982. vaessen scored the winning goal 1-0.",neutral
kobe bryant smiling as he re-enters the game with the lakers losing 91-63 in the 4th quarter. probably insanity settling in.,negative
"2nd shift operations leader - baltimore pdc at toyota (baltimore, md): toyota (nyse:tm), the w...",neutral
fav this and wait for it: prandelli will leave if galatasaray will lose against fenerbahce this saturday.,neutral
"here's the full game story, in which 's blake anderson entered the georgia dome concerned about focus. ($)",neutral
"sunday in atlanta, ga catch me at the georgia dome... i will be live and turnt in that bitch! hahaha ready to",positive
"kunle afolayan did a good job with """"october 1st """"",positive
selena's greatest hits album is set to come out november 24th and it's called 'for you'.,neutral
there have been zero cases of ebola in the whole of nigeria for well over a month yet someone died of ebola last friday in texas,neutral
it's the final day to get your for our annual gala on sat.! join us & follow along online with ...,neutral
"gala sunday oct 19 7-10,great food, drink, music, people! tickets: support the arts",positive
"when was it released?"""" : omg. october 1 is out???? produced by kunle afolayan :::??",neutral
toyota hybrids alias heavy demand credits-grease the palm in front of january 1st: mekupvjcm,positive
i may have been watching old episodes on netflix as we endure the never ending wait for it to be released !,negative
"new event! join us nov 6 in atlanta, ga to learn more about pureapplication systems & tour the georgia dome.",positive
